ticker,name,keyword,holdingQty,buyPrice,snapshotDate
002710,TCC스틸,TCC스틸,0,0,2024-12-31
241590,화승엔터프라이즈,화승엔터프라이즈,0,0,2024-12-31
319660,피에스케이,피에스케이,0,0,2024-12-31
213420,덕산네오룩스,덕산네오룩스,0,0,2024-12-31
456040,OCI,OCI,0,0,2024-12-31
003540,대신증권,대신증권,0,0,2024-12-31
074600,원익QnC,원익QnC,0,0,2024-12-31
005880,대한해운,대한해운,0,0,2024-12-31
300720,한일시멘트,한일시멘트,0,0,2024-12-31
240810,원익IPS,원익IPS,0,0,2024-12-31
032350,롯데관광개발,롯데관광개발,0,0,2024-12-31
001060,JW중외제약,JW중외제약,0,0,2024-12-31
310210,보로노이,보로노이,0,0,2024-12-31
014830,유니드,유니드,0,0,2024-12-31
003620,KG모빌리티,KG모빌리티,0,0,2024-12-31
131970,두산테스나,두산테스나,0,0,2024-12-31
082640,동양생명,동양생명,0,0,2024-12-31
000070,삼양홀딩스,삼양홀딩스,0,0,2024-12-31
336370,솔루스첨단소재,솔루스첨단소재,0,0,2024-12-31
012630,HDC,HDC,0,0,2024-12-31
195870,해성디에스,해성디에스,0,0,2024-12-31
020560,아시아나항공,아시아나항공,0,0,2024-12-31
005420,코스모화학,코스모화학,0,0,2024-12-31
086450,동국제약,동국제약,0,0,2024-12-31
005290,동진쎄미켐,동진쎄미켐,0,0,2024-12-31
086900,메디톡스,메디톡스,0,0,2024-12-31
079160,CJ CGV,CJ CGV,0,0,2024-12-31
009410,태영건설,태영건설,0,0,2024-12-31
085620,미래에셋생명,미래에셋생명,0,0,2024-12-31
101490,에스앤에스텍,에스앤에스텍,0,0,2024-12-31
009900,명신산업,명신산업,0,0,2024-12-31
100840,SNT에너지,SNT에너지,0,0,2024-12-31
272450,진에어,진에어,0,0,2024-12-31
031980,피에스케이홀딩스,피에스케이홀딩스,0,0,2024-12-31
277810,레인보우로보틱스,레인보우로보틱스,0,0,2024-12-31
035760,CJ ENM,CJ ENM,0,0,2024-12-31
008730,율촌화학,율촌화학,0,0,2024-12-31
006040,동원산업,동원산업,0,0,2024-12-31
460860,동국제강,동국제강,0,0,2024-12-31
084370,유진테크,유진테크,0,0,2024-12-31
016380,KG스틸,KG스틸,0,0,2024-12-31
093370,후성,후성,0,0,2024-12-31
352480,씨앤씨인터내셔널,씨앤씨인터내셔널,0,0,2024-12-31
017960,한국카본,한국카본,0,0,2024-12-31
119610,인터로조,인터로조,0,0,2024-12-31
082270,젬백스,젬백스,0,0,2024-12-31
005180,빙그레,빙그레,0,0,2024-12-31
271940,일진하이솔루스,일진하이솔루스,0,0,2024-12-31
006110,삼아알미늄,삼아알미늄,0,0,2024-12-31
030190,NICE평가정보,NICE평가정보,0,0,2024-12-31
005440,현대지에프홀딩스,현대지에프홀딩스,0,0,2024-12-31
073240,금호타이어,금호타이어,0,0,2024-12-31
083650,비에이치아이,비에이치아이,0,0,2024-12-31
013030,하이록코리아,하이록코리아,0,0,2024-12-31
020000,한섬,한섬,0,0,2024-12-31
057050,현대홈쇼핑,현대홈쇼핑,0,0,2024-12-31
192650,드림텍,드림텍,0,0,2024-12-31
348950,제이알글로벌리츠,제이알글로벌리츠,0,0,2024-12-31
030520,한글과컴퓨터,한글과컴퓨터,0,0,2024-12-31
166090,하나머티리얼즈,하나머티리얼즈,0,0,2024-12-31
033500,동성화인텍,동성화인텍,0,0,2024-12-31
178320,서진시스템,서진시스템,0,0,2024-12-31
225570,넥슨게임즈,넥슨게임즈,0,0,2024-12-31
036930,주성엔지니어링,주성엔지니어링,0,0,2024-12-31
226950,올릭스,올릭스,0,0,2024-12-31
121600,나노신소재,나노신소재,0,0,2024-12-31
263750,펄어비스,펄어비스,0,0,2024-12-31
009470,삼화전기,삼화전기,0,0,2024-12-31
023160,태광,태광,0,0,2024-12-31
006120,SK디스커버리,SK디스커버리,0,0,2024-12-31
284740,쿠쿠홈시스,쿠쿠홈시스,0,0,2024-12-31
060980,HL홀딩스,HL홀딩스,0,0,2024-12-31
453340,현대그린푸드,현대그린푸드,0,0,2024-12-31
457190,이수스페셜티케미컬,이수스페셜티케미컬,0,0,2024-12-31
011760,현대코퍼레이션,현대코퍼레이션,0,0,2024-12-31
039440,에스티아이,에스티아이,0,0,2024-12-31
007690,국도화학,국도화학,0,0,2024-12-31
348370,엔켐,엔켐,0,0,2024-12-31
104830,원익머트리얼즈,원익머트리얼즈,0,0,2024-12-31
075580,세진중공업,세진중공업,0,0,2024-12-31
206640,바디텍메드,바디텍메드,0,0,2024-12-31
078340,컴투스,컴투스,0,0,2024-12-31
000500,가온전선,가온전선,0,0,2024-12-31
112040,위메이드,위메이드,0,0,2024-12-31
272290,이녹스첨단소재,이녹스첨단소재,0,0,2024-12-31
253450,스튜디오드래곤,스튜디오드래곤,0,0,2024-12-31
189300,인텔리안테크,인텔리안테크,0,0,2024-12-31
003570,SNT다이내믹스,SNT다이내믹스,0,0,2024-12-31
183190,아세아시멘트,아세아시멘트,0,0,2024-12-31
065350,신성델타테크,신성델타테크,0,0,2024-12-31
251970,펌텍코리아,펌텍코리아,0,0,2024-12-31
003160,디아이,디아이,0,0,2024-12-31
108670,LX하우시스,LX하우시스,0,0,2024-12-31
017810,풀무원,풀무원,0,0,2024-12-31
000400,롯데손해보험,롯데손해보험,0,0,2024-12-31
338220,뷰노,뷰노,0,0,2024-12-31
145990,삼양사,삼양사,0,0,2024-12-31
376300,디어유,디어유,0,0,2024-12-31
067310,하나마이크론,하나마이크론,0,0,2024-12-31
034230,파라다이스,파라다이스,0,0,2024-12-31
148150,세경하이테크,세경하이테크,0,0,2024-12-31
001720,신영증권,신영증권,0,0,2024-12-31
001630,종근당홀딩스,종근당홀딩스,0,0,2024-12-31
306200,세아제강,세아제강,0,0,2024-12-31
358570,지아이이노베이션,지아이이노베이션,0,0,2024-12-31
000370,한화손해보험,한화손해보험,0,0,2024-12-31
183300,코미코,코미코,0,0,2024-12-31
016580,환인제약,환인제약,0,0,2024-12-31
071320,지역난방공사,지역난방공사,0,0,2024-12-31
068760,셀트리온제약,셀트리온제약,0,0,2024-12-31
093050,LF,LF,0,0,2024-12-31
053030,바이넥스,바이넥스,0,0,2024-12-31
215200,메가스터디교육,메가스터디교육,0,0,2024-12-31
381970,케이카,케이카,0,0,2024-12-31
017860,DS단석,DS단석,0,0,2024-12-31
036620,감성코퍼레이션,감성코퍼레이션,0,0,2024-12-31
415640,KB발해인프라,KB발해인프라,0,0,2024-12-31
017940,E1,E1,0,0,2024-12-31
126340,비나텍,비나텍,0,0,2024-12-31
330590,롯데리츠,롯데리츠,0,0,2024-12-31
399720,가온칩스,가온칩스,0,0,2024-12-31
293940,신한알파리츠,신한알파리츠,0,0,2024-12-31
213500,한솔제지,한솔제지,0,0,2024-12-31
215000,골프존,골프존,0,0,2024-12-31
114840,아이패밀리에스씨,아이패밀리에스씨,0,0,2024-12-31
005090,SGC에너지,SGC에너지,0,0,2024-12-31
192400,쿠쿠홀딩스,쿠쿠홀딩스,0,0,2024-12-31
067630,HLB생명과학,HLB생명과학,0,0,2024-12-31
084010,대한제강,대한제강,0,0,2024-12-31
340570,티앤엘,티앤엘,0,0,2024-12-31
265520,AP시스템,AP시스템,0,0,2024-12-31
059090,미코,미코,0,0,2024-12-31
029460,케이씨,케이씨,0,0,2024-12-31
031430,신세계인터내셔날,신세계인터내셔날,0,0,2024-12-31
004690,삼천리,삼천리,0,0,2024-12-31
383800,LX홀딩스,LX홀딩스,0,0,2024-12-31
002310,아세아제지,아세아제지,0,0,2024-12-31
000670,영풍,영풍,0,0,2024-12-31
122990,와이솔,와이솔,0,0,2024-12-31
095610,테스,테스,0,0,2024-12-31
095660,네오위즈,네오위즈,0,0,2024-12-31
002030,아세아,아세아,0,0,2024-12-31
174900,앱클론,앱클론,0,0,2024-12-31
393890,더블유씨피,더블유씨피,0,0,2024-12-31
035150,백산,백산,0,0,2024-12-31
161000,애경케미칼,애경케미칼,0,0,2024-12-31
039200,오스코텍,오스코텍,0,0,2024-12-31
131290,티에스이,티에스이,0,0,2024-12-31
029530,신도리코,신도리코,0,0,2024-12-31
005810,풍산홀딩스,풍산홀딩스,0,0,2024-12-31
038290,마크로젠,마크로젠,0,0,2024-12-31
042000,카페24,카페24,0,0,2024-12-31
003240,태광산업,태광산업,0,0,2024-12-31
005610,SPC삼립,SPC삼립,0,0,2024-12-31
004430,송원산업,송원산업,0,0,2024-12-31
082920,비츠로셀,비츠로셀,0,0,2024-12-31
099320,쎄트렉아이,쎄트렉아이,0,0,2024-12-31
137400,피엔티,피엔티,0,0,2024-12-31
214430,아이쓰리시스템,아이쓰리시스템,0,0,2024-12-31
083450,GST,GST,0,0,2024-12-31
210540,디와이파워,디와이파워,0,0,2024-12-31
357120,코람코라이프인프라리츠,코람코라이프인프라리츠,0,0,2024-12-31
403550,쏘카,쏘카,0,0,2024-12-31
200880,서연이화,서연이화,0,0,2024-12-31
099190,아이센스,아이센스,0,0,2024-12-31
322510,제이엘케이,제이엘케이,0,0,2024-12-31
098460,고영,고영,0,0,2024-12-31
348210,넥스틴,넥스틴,0,0,2024-12-31
005690,파미셀,파미셀,0,0,2024-12-31
013890,지누스,지누스,0,0,2024-12-31
096530,씨젠,씨젠,0,0,2024-12-31
194370,제이에스코퍼레이션,제이에스코퍼레이션,0,0,2024-12-31
194480,데브시스터즈,데브시스터즈,0,0,2024-12-31
200670,휴메딕스,휴메딕스,0,0,2024-12-31
053800,안랩,안랩,0,0,2024-12-31
281740,레이크머티리얼즈,레이크머티리얼즈,0,0,2024-12-31
091810,티웨이항공,티웨이항공,0,0,2024-12-31
239890,피엔에이치테크,피엔에이치테크,0,0,2024-12-31
000490,대동,대동,0,0,2024-12-31
015750,성우하이텍,성우하이텍,0,0,2024-12-31
017370,우신시스템,우신시스템,0,0,2024-12-31
126720,수산인더스트리,수산인더스트리,0,0,2024-12-31
107640,한중엔시에스,한중엔시에스,0,0,2024-12-31
002320,한진,한진,0,0,2024-12-31
004360,세방,세방,0,0,2024-12-31
002960,한국쉘석유,한국쉘석유,0,0,2024-12-31
104700,한국철강,한국철강,0,0,2024-12-31
093320,케이아이엔엑스,케이아이엔엑스,0,0,2024-12-31
295310,에이치브이엠,에이치브이엠,0,0,2024-12-31
218410,RFHIC,RFHIC,0,0,2024-12-31
053690,한미글로벌,한미글로벌,0,0,2024-12-31
033240,자화전자,자화전자,0,0,2024-12-31
293490,카카오게임즈,카카오게임즈,0,0,2024-12-31
441270,파인엠텍,파인엠텍,0,0,2024-12-31
072710,농심홀딩스,농심홀딩스,0,0,2024-12-31
036890,진성티이씨,진성티이씨,0,0,2024-12-31
031440,신세계푸드,신세계푸드,0,0,2024-12-31
005500,삼진제약,삼진제약,0,0,2024-12-31
010690,화신,화신,0,0,2024-12-31
110990,디아이티,디아이티,0,0,2024-12-31
484870,엠앤씨솔루션,엠앤씨솔루션,0,0,2024-12-31
115180,큐리언트,큐리언트,0,0,2024-12-31
122900,아이마켓코리아,아이마켓코리아,0,0,2024-12-31
036530,SNT홀딩스,SNT홀딩스,0,0,2024-12-31
091700,파트론,파트론,0,0,2024-12-31
105840,우진,우진,0,0,2024-12-31
049070,인탑스,인탑스,0,0,2024-12-31
002840,미원상사,미원상사,0,0,2024-12-31
264450,유비쿼스,유비쿼스,0,0,2024-12-31
043370,피에이치에이,피에이치에이,0,0,2024-12-31
036200,유니셈,유니셈,0,0,2024-12-31
025770,한국정보통신,한국정보통신,0,0,2024-12-31
126560,현대퓨처넷,현대퓨처넷,0,0,2024-12-31
031330,에스에이엠티,에스에이엠티,0,0,2024-12-31
475150,SK이터닉스,SK이터닉스,0,0,2024-12-31
002810,삼영무역,삼영무역,0,0,2024-12-31
084110,휴온스글로벌,휴온스글로벌,0,0,2024-12-31
267980,매일유업,매일유업,0,0,2024-12-31
420770,기가비스,기가비스,0,0,2024-12-31
025000,KPX케미칼,KPX케미칼,0,0,2024-12-31
018250,애경산업,애경산업,0,0,2024-12-31
090350,노루페인트,노루페인트,0,0,2024-12-31
298000,효성화학,효성화학,0,0,2024-12-31
001570,금양,금양,0,0,2024-12-31
102710,이엔에프테크놀로지,이엔에프테크놀로지,0,0,2024-12-31
220100,퓨쳐켐,퓨쳐켐,0,0,2024-12-31
102260,동성케미컬,동성케미컬,0,0,2024-12-31
079900,전진건설로봇,전진건설로봇,0,0,2024-12-31
058610,에스피지,에스피지,0,0,2024-12-31
214420,토니모리,토니모리,0,0,2024-12-31
003300,한일홀딩스,한일홀딩스,0,0,2024-12-31
268280,미원에스씨,미원에스씨,0,0,2024-12-31
039570,HDC랩스,HDC랩스,0,0,2024-12-31
008490,서흥,서흥,0,0,2024-12-31
002390,한독,한독,0,0,2024-12-31
034310,NICE,NICE,0,0,2024-12-31
383310,에코프로에이치엔,에코프로에이치엔,0,0,2024-12-31
019210,와이지-원,와이지-원,0,0,2024-12-31
004380,삼익THK,삼익THK,0,0,2024-12-31
363250,진시스템,진시스템,0,0,2024-12-31
024720,콜마홀딩스,콜마홀딩스,0,0,2024-12-31
100120,뷰웍스,뷰웍스,0,0,2024-12-31
006730,서부T&D,서부T&D,0,0,2024-12-31
051370,인터플렉스,인터플렉스,0,0,2024-12-31
305090,마이크로디지탈,마이크로디지탈,0,0,2024-12-31
003920,남양유업,남양유업,0,0,2024-12-31
065680,우주일렉트로,우주일렉트로,0,0,2024-12-31
053610,프로텍,프로텍,0,0,2024-12-31
206650,유바이오로직스,유바이오로직스,0,0,2024-12-31
322310,오로스테크놀로지,오로스테크놀로지,0,0,2024-12-31
003220,대원제약,대원제약,0,0,2024-12-31
417200,LS머트리얼즈,LS머트리얼즈,0,0,2024-12-31
115450,HLB테라퓨틱스,HLB테라퓨틱스,0,0,2024-12-31
322000,HD현대에너지솔루션,HD현대에너지솔루션,0,0,2024-12-31
077500,유니퀘스트,유니퀘스트,0,0,2024-12-31
044450,KSS해운,KSS해운,0,0,2024-12-31
084690,대상홀딩스,대상홀딩스,0,0,2024-12-31
425040,티이엠씨,티이엠씨,0,0,2024-12-31
033100,제룡전기,제룡전기,0,0,2024-12-31
286940,롯데이노베이트,롯데이노베이트,0,0,2024-12-31
079960,동양이엔피,동양이엔피,0,0,2024-12-31
460850,동국씨엠,동국씨엠,0,0,2024-12-31
036420,콘텐트리중앙,콘텐트리중앙,0,0,2024-12-31
007460,에이프로젠,에이프로젠,0,0,2024-12-31
